country,cause,beta,gamma,eta,mu,xi,theta,q,Lambda_scaled,Lambda_per_100k_per_year,cause_name
Japan,Cocaine use disorders,0.5507164001464844,0.718649685,0.1930002123117447,0.009146912,0.005216167,0.070826232,1.8938474655151367,8.386617660522461,838.6617660522461,Cocaine
Jordan,Cocaine use disorders,0.977921724,0.3982601165771484,0.3244499564170837,0.00364553,0.005216836,0.1177039891481399,1.7100722789764404,28.159940719604492,2815.994071960449,Cocaine
Kazakhstan,Cocaine use disorders,0.9533634185791016,0.3939104676246643,0.3352359533309936,0.009157323,0.010317261,0.1205349341034889,1.7214187383651731,20.356969833374023,2035.6969833374023,Cocaine
Kenya,Cocaine use disorders,0.9996682405471802,0.367880642,0.3433821201324463,0.008563941,0.017939914,0.1241408437490463,1.6942541599273682,36.192264556884766,3619.226455688477,Cocaine
Kiribati,Cocaine use disorders,0.9872506856918336,0.3887512683868408,0.32610023,0.007413735,0.013653578,0.1159633919596672,1.712165355682373,31.002941131591797,3100.2941131591797,Cocaine
Kuwait,Cocaine use disorders,0.9628181457519532,0.3923885226249695,0.3372398316860199,0.002142794,0.005814487,0.1224332600831985,1.7160464525222778,19.28467559814453,1928.4675598144531,Cocaine
Kyrgyzstan,Cocaine use disorders,0.952275813,0.3988877534866333,0.3260555565357208,0.007856118,0.008495805,0.1172397881746292,1.7226357460021973,25.208175659179688,2520.8175659179688,Cocaine
Lao_People's_Democratic_Republic,Cocaine use disorders,0.9996525645256042,0.3679332733154297,0.3275321424007416,0.008998882,0.017933303,0.120520107,1.6943128108978271,30.159765243530273,3015.9765243530273,Cocaine
Latvia,Cocaine use disorders,0.958425522,0.3915333747863769,0.3396934270858764,0.014586118,0.00559541,0.1163499727845192,1.715041995048523,9.832941055297852,983.2941055297852,Cocaine
Lebanon,Cocaine use disorders,0.963220477,0.3952268958091736,0.3293558955192566,0.004885206,0.007688709,0.1207210123538971,1.714609980583191,20.145675659179688,2014.5675659179688,Cocaine
Lesotho,Cocaine use disorders,0.9572398066520692,0.4018173813819885,0.3108629584312439,0.014720265,0.00395784,0.1167279928922653,1.7280703783035278,29.189382553100582,2918.9382553100586,Cocaine
Liberia,Cocaine use disorders,1.0126467943191528,0.3734681308269501,0.3099015653133392,0.013162412,0.010682526,0.1139478683471679,1.6864447593688965,39.365352630615234,3936.535263061523,Cocaine
Libya,Cocaine use disorders,0.982514262,0.3966225087642669,0.327786386,0.004873735,0.008760853,0.1215790510177612,1.7107535600662231,22.15491104125977,2215.491104125977,Cocaine
Lithuania,Cocaine use disorders,0.9544786214828492,0.392258883,0.3333439826965332,0.013121353,0.005251268,0.1211069375276565,1.7210718393325806,10.355912208557127,1035.591220855713,Cocaine
Luxembourg,Cocaine use disorders,0.5560920238494873,0.7194905281066895,0.1917258203029632,0.008281765,0.006510804,0.07037966,1.9145835638046265,11.592323303222656,1159.2323303222656,Cocaine
Madagascar,Cocaine use disorders,0.999625325,0.3678807616233825,0.3369227647781372,0.009495265,0.017957786,0.121690497,1.6943975687026978,38.45738220214844,3845.738220214844,Cocaine
Malawi,Cocaine use disorders,0.9996346831321716,0.3678794503211975,0.3339261412620544,0.01352453,0.017946495,0.1187339946627616,1.6943658590316772,41.122764587402344,4112.276458740234,Cocaine
Malaysia,Cocaine use disorders,1.0140272378921509,0.3735610246658325,0.3272340297698974,0.004614706,0.015216242,0.1252212077379226,1.6858562231063845,19.407087326049805,1940.7087326049805,Cocaine
Maldives,Cocaine use disorders,0.9124382734298706,0.408100963,0.3140102624893188,0.004150941,0.015239172,0.1197519451379776,1.7544324398040771,21.219558715820312,2121.9558715820312,Cocaine
Mali,Cocaine use disorders,1.009868621826172,0.3728551864624023,0.3176192343235016,0.013681117,0.014889543,0.1126727610826492,1.687875270843506,45.507442474365234,4550.744247436523,Cocaine
Malta,Cocaine use disorders,0.5836583375930786,0.7129743695259094,0.190777987,0.007417176,0.006502977,0.070742667,2.006234645843506,10.541912078857422,1054.1912078857422,Cocaine
Marshall_Islands,Cocaine use disorders,0.9995821714401244,0.3679277896881103,0.3345200419425964,0.006786765,0.0179272,0.1204248070716857,1.6945353746414185,32.695674896240234,3269.567489624023,Cocaine
